# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar  5 09:26:24 2023
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN especlipdep:    Eclipse Depth [percentage]
# COLUMN especlipdeperr1: Eclipse Depth Upper Unc. [percentage]
# COLUMN especlipdeperr2: Eclipse Depth Lower Unc. [percentage]
# COLUMN especlipdeplim: Eclipse Depth Limit Flag
# COLUMN espbritemp:     Brightness temperature [K]
# COLUMN espbritemperr1: Brightness temperature Upper Unc. [K]
# COLUMN espbritemperr2: Brightness temperature Lower Unc. [K]
# COLUMN espbritemplim:  Brightness temperature Limit Flag
# COLUMN plntreflink:    Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,plntreflink,facility,instrument
WASP-43 b,1.4225,0.0350,0.032000,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.4575,0.0350,0.039400,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.4925,0.0350,0.043900,0.003300,-0.003300,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.5275,0.0350,0.045800,0.003500,-0.003500,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.5625,0.0350,0.059500,0.003600,-0.003600,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.5975,0.0350,0.061400,0.003700,-0.003700,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
WASP-43 b,1.6325,0.0350,0.073200,0.004200,-0.004200,0,,,,,<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...793L..27K/abstract target=ref>Kreidberg et al. 2014</a>,Hubble Space Telescope,Wide Field Camera 3
TrES-1 b,3.6000,0.7500,0.083000,0.024000,-0.024000,0,1270,110,-110,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
TrES-1 b,4.5000,1.0150,0.094000,0.024000,-0.024000,0,1126,90,-90,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
TrES-1 b,5.8000,1.4250,0.162000,0.042000,-0.042000,0,1205,130,-130,0,<a refstr=CUBILLOS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...797...42C/abstract target=ref>Cubillos et al. 2014</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
